image_path,image_name,category_index,category_label,data_index,data_label
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00000.jpg,00000,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00002.jpg,00002,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00003.jpg,00003,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00006.jpg,00006,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00009.jpg,00009,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00010.jpg,00010,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00011.jpg,00011,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00012.jpg,00012,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00013.jpg,00013,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00014.jpg,00014,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00015.jpg,00015,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00017.jpg,00017,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00018.jpg,00018,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00019.jpg,00019,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00021.jpg,00021,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00022.jpg,00022,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00027.jpg,00027,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00029.jpg,00029,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00030.jpg,00030,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00031.jpg,00031,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00033.jpg,00033,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00035.jpg,00035,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00036.jpg,00036,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00038.jpg,00038,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00040.jpg,00040,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00042.jpg,00042,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00043.jpg,00043,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00044.jpg,00044,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00046.jpg,00046,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00048.jpg,00048,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00049.jpg,00049,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00050.jpg,00050,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00051.jpg,00051,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00052.jpg,00052,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00054.jpg,00054,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00055.jpg,00055,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00057.jpg,00057,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00058.jpg,00058,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00059.jpg,00059,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00060.jpg,00060,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00061.jpg,00061,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00065.jpg,00065,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00066.jpg,00066,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00067.jpg,00067,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00068.jpg,00068,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00069.jpg,00069,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00070.jpg,00070,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00072.jpg,00072,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00073.jpg,00073,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00074.jpg,00074,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00075.jpg,00075,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00076.jpg,00076,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00077.jpg,00077,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00078.jpg,00078,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00079.jpg,00079,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00080.jpg,00080,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00081.jpg,00081,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00082.jpg,00082,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00083.jpg,00083,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00084.jpg,00084,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00086.jpg,00086,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00087.jpg,00087,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00089.jpg,00089,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00090.jpg,00090,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00091.jpg,00091,0,real,0,train
C:\\Users\\vssta\\OneDrive\\Escritorio\\pruebas_csv_imagenes\\images\\train\\real\00092.jpg,00092,0,real,0,train
